year,total_funding,average_round,median_round,funding_rounds
1960.0,52736030.0,5859558.888888889,0.0,9
1973.0,0.0,0.0,0.0,1
1974.0,0.0,0.0,0.0,2
1984.0,141000.0,47000.0,41000.0,3
1985.0,0.0,0.0,0.0,1
1987.0,2500000.0,1250000.0,1250000.0,2
1989.0,15000.0,15000.0,15000.0,1
1990.0,1000000.0,1000000.0,1000000.0,1
1992.0,2000000.0,2000000.0,2000000.0,1
1993.0,125000.0,62500.0,62500.0,2
1994.0,13400000.0,6700000.0,6700000.0,2
1995.0,17300000.0,2471428.5714285714,2000000.0,7
1996.0,13542500.0,1934642.857142857,12500.0,7
1997.0,64620000.0,7180000.0,3300000.0,9
1998.0,153138990.0,5280654.827586207,100000.0,29
1999.0,563938371.0,7420241.72368421,2000000.0,76
2000.0,1435688690.0,11485509.52,4200000.0,125
2001.0,841105790.0,8761518.645833334,3000000.0,96
2002.0,908998723.0,7836195.887931035,4200000.0,116
2003.0,910282919.0,5725049.805031447,3000000.0,159
2004.0,2209750863.0,7593645.577319588,5000000.0,291
2005.0,15227523410.0,9324876.552357623,5500000.0,1633
2006.0,20472795474.0,8404267.43596059,5000000.0,2436
2007.0,29285058516.0,8931094.393412625,3973319.0,3279
2008.0,38463867954.0,10191803.909379968,3110000.0,3774
2009.0,36506561542.0,8794642.626355095,2000000.0,4151
2010.0,48210584017.0,7749651.8271982,1602500.0,6221
2011.0,66696224605.0,7246439.005323772,1200000.0,9204
2012.0,63927965790.0,6412032.677031093,1000000.0,9970
2013.0,93749768761.0,8467284.028269509,1200000.0,11072
