year,funding_round_type,total_funding,funding_rounds
1960.0,series-a,0.0,1
1960.0,venture,52736030.0,8
1973.0,angel,0.0,1
1974.0,angel,0.0,1
1974.0,series-a,0.0,1
1984.0,angel,141000.0,3
1985.0,angel,0.0,1
1987.0,series-a,2500000.0,1
1987.0,series-c+,0.0,1
1989.0,angel,15000.0,1
1990.0,venture,1000000.0,1
1992.0,venture,2000000.0,1
1993.0,angel,125000.0,2
1994.0,venture,13400000.0,2
1995.0,angel,500000.0,1
1995.0,series-a,12000000.0,3
1995.0,series-b,4800000.0,1
1995.0,series-c+,0.0,1
1995.0,venture,0.0,1
1996.0,angel,12500.0,3
1996.0,series-a,5530000.0,3
1996.0,series-b,8000000.0,1
1997.0,angel,100000.0,1
1997.0,series-a,48300000.0,3
1997.0,series-b,2520000.0,1
1997.0,series-c+,7000000.0,2
1997.0,venture,6700000.0,2
1998.0,angel,502000.0,9
1998.0,private-equity,0.0,1
1998.0,series-a,48486990.0,11
1998.0,series-b,74150000.0,4
1998.0,series-c+,25000000.0,2
1998.0,venture,5000000.0,2
1999.0,angel,3282400.0,14
1999.0,other,29100000.0,3
1999.0,private-equity,30000000.0,1
1999.0,series-a,215730162.0,32
1999.0,series-b,91060000.0,10
1999.0,series-c+,69250000.0,8
1999.0,venture,125515809.0,8
2000.0,angel,11811183.0,25
2000.0,other,76000000.0,3
2000.0,series-a,363971223.0,52
2000.0,series-b,515970000.0,22
2000.0,series-c+,370170000.0,13
2000.0,venture,97766284.0,10
2001.0,angel,3006291.0,21
2001.0,other,13350000.0,5
2001.0,private-equity,2000000.0,1
2001.0,series-a,194111886.0,30
2001.0,series-b,131218722.0,13
2001.0,series-c+,328418802.0,12
2001.0,venture,169000089.0,14
2002.0,angel,7090193.0,22
2002.0,other,214957049.0,5
2002.0,post-ipo,300000.0,1
2002.0,series-a,194247392.0,32
2002.0,series-b,240588332.0,25
2002.0,series-c+,192330000.0,18
2002.0,venture,59485757.0,13
2003.0,angel,12098286.0,37
2003.0,other,21530717.0,6
2003.0,private-equity,0.0,1
2003.0,series-a,256280911.0,49
2003.0,series-b,270266124.0,31
2003.0,series-c+,242232066.0,17
2003.0,venture,107874815.0,18
2004.0,angel,14275904.0,34
2004.0,other,19866935.0,8
2004.0,private-equity,1000000.0,1
2004.0,series-a,632910485.0,123
2004.0,series-b,664164425.0,54
2004.0,series-c+,529308454.0,33
2004.0,venture,348224660.0,38
2005.0,angel,36437636.0,111
2005.0,other,29448060.0,7
2005.0,post-ipo,1000000000.0,1
2005.0,private-equity,22922870.0,1
2005.0,series-a,3419525800.0,503
2005.0,series-b,3013150090.0,318
2005.0,series-c+,3833292486.0,257
2005.0,venture,3872746468.0,435
2006.0,angel,81456694.0,260
2006.0,other,232342151.0,25
2006.0,private-equity,129750000.0,5
2006.0,series-a,4218441533.0,675
2006.0,series-b,5111181649.0,436
2006.0,series-c+,5352399476.0,344
2006.0,venture,5347223971.0,691
2007.0,angel,192801819.0,624
2007.0,other,1013414872.0,69
2007.0,post-ipo,12000000.0,2
2007.0,private-equity,13387128.0,3
2007.0,series-a,6045854901.0,975
2007.0,series-b,6457387811.0,535
2007.0,series-c+,8181383788.0,425
2007.0,venture,7368828197.0,646
2008.0,angel,253955824.0,827
2008.0,crowdfunding,3000000.0,1
2008.0,other,753350596.0,87
2008.0,post-ipo,3200000000.0,1
2008.0,private-equity,300900000.0,5
2008.0,series-a,6803985994.0,1009
2008.0,series-b,7697538319.0,623
2008.0,series-c+,10487080663.0,456
2008.0,venture,8964056558.0,765
2009.0,angel,254756072.0,979
2009.0,other,4193331219.0,259
2009.0,post-ipo,4402750000.0,9
2009.0,private-equity,117419374.0,6
2009.0,series-a,3863747404.0,724
2009.0,series-b,4645490404.0,488
2009.0,series-c+,7630208413.0,449
2009.0,venture,11398858656.0,1237
2010.0,angel,392650381.0,1397
2010.0,crowdfunding,10264005.0,3
2010.0,other,6787780755.0,523
2010.0,post-ipo,676010481.0,4
2010.0,private-equity,359600712.0,19
2010.0,series-a,5400167672.0,980
2010.0,series-b,5765854284.0,525
2010.0,series-c+,9434051171.0,511
2010.0,venture,19384204556.0,2259
2011.0,angel,725520033.0,2366
2011.0,crowdfunding,18604000.0,4
2011.0,other,4387926689.0,925
2011.0,post-ipo,217882655.0,8
2011.0,private-equity,3184238944.0,128
2011.0,series-a,8424764067.0,1330
2011.0,series-b,7595832255.0,608
2011.0,series-c+,14439843388.0,528
2011.0,venture,27701612574.0,3307
2012.0,angel,934972033.0,3040
2012.0,crowdfunding,29113168.0,14
2012.0,other,7764746063.0,1031
2012.0,post-ipo,1466030723.0,11
2012.0,private-equity,4773972020.0,271
2012.0,series-a,8032837021.0,1402
2012.0,series-b,5585231822.0,513
2012.0,series-c+,13685251452.0,556
2012.0,venture,21655811488.0,3132
2013.0,angel,1076842770.0,3233
2013.0,crowdfunding,120887594.0,89
2013.0,other,21677599723.0,1239
2013.0,post-ipo,3763211683.0,50
2013.0,private-equity,17161770360.0,600
2013.0,series-a,10111721364.0,1889
2013.0,series-b,7603342247.0,682
2013.0,series-c+,14414122952.0,580
2013.0,venture,17820270068.0,2710
